,0,iterations = 51,,,,,,,,,,,,,,,,,,,,,,,
1 5,24,,,,Column1,Column2,,,,,,,,,,,,,,,,,,,
1 10,29,,,,1 5,24,,,,1 5,1 10,1 50,1 100,2 5,2 10,2 50,2 100,3 5,3 10,3 50,3 100,5 5,5 10,5 50,5 100
1 50,10,,,,1 10,29,,,,24,29,10,23,7,20,24,25,10,3,9,16,25,27,21,11
1 100,23,,,,1 50,10,,,,,,,,,,,,,,,,,,,
2 5,7,,,,1 100,23,,,,,,,,,,,,,,,,,,,
2 10,20,,,,2 5,7,,,,Column1,Column2,Column3,Column4,,,,,,,,,,,,
2 50,24,,,,2 10,20,,,,1 5,1 10,1 50,1 100,,,,,,,,,,,,
2 100,25,,,,2 50,24,,,,24,29,10,23,,,,,,,,,,,,
3 5,10,,,,2 100,25,,,,2 5,2 10,2 50,2 100,,,,,,,,,,,,
3 10,3,,,,3 5,10,,,,7,20,24,25,,,,,,,,,,,,
3 50,9,,,,3 10,3,,,,3 5,3 10,3 50,3 100,,,,,,,,,,,,
3 100,16,,,,3 50,9,,,,10,3,9,16,,,,,,,,,,,,
5 5,25,,,,3 100,16,,,,5 5,5 10,5 50,5 100,,,,,,,,,,,,
5 10,27,,,,5 5,25,,,,25,27,21,11,,,,,,,,,,,,
5 50,21,,,,5 10,27,,,,,,,,,,,,,,,,,,,
5 100,11,,,,5 50,21,,,,,,,,,,,,,,,,,,,
,,,,,5 100,11,,,,,,,,,,,,,,,,,,,
